# NEP of RID at inverse temperature 1.05xbeta_c = 4.5106040361067885 with an edge RID --> ADLR added; the p-values were calculated over 5000 randomly generated graphs with same degree sequence. 
source,target,kms_weight,p-value
RID,RIGR,0.0010545149362936634,1.0
RID,RIVL,0.00025450379954443494,1.0
RID,BAGL,0.0001560598672222632,1.0
RID,HSNR,0.0009511568899972782,1.0
RID,RIBR,0.0015708217401729987,1.0
RID,SAADL,0.0004013795235818547,1.0
RID,SAAVL,0.00034365180996318034,1.0
RID,DB01,0.02120726456874934,0.0
RID,RIGL,0.0015898407034977415,1.0
RID,RIML,0.0021465163401853333,1.0
RID,RIS,0.001508054602662756,0.9946
RID,RIVR,0.00028069446909405495,1.0
RID,RIBL,0.0016510967611392145,1.0
RID,SAADR,0.0004046232018591024,1.0
RID,SDQL,0.00042812073247662,0.7626
RID,VB01,0.001751436789894006,0.9152
RID,SIBDR,0.0003479392154884473,1.0
RID,AUAR,0.00017560484387303316,1.0
RID,AUAL,0.00016958551942682098,1.0
RID,AIYL,0.00014518245693614373,1.0
RID,BAGR,0.00019979993725320188,1.0
RID,DVA,0.005885600641243875,1.0
RID,ALML,0.00026676610889120057,1.0
RID,RIFL,0.00036633417810742226,0.9994
RID,ALMR,0.00041350852112913083,0.7918
RID,SMBDR,0.0005091693823954936,1.0
RID,ALNL,9.810359146984365e-05,1.0
RID,AVBL,0.017643152050427786,0.1364
RID,AQR,0.001991350030120948,0.8508
RID,PVCR,0.012950954708528303,0.448
RID,AVAL,0.02694955839271346,0.7496
RID,AS01,0.0032064806309475198,0.0746
RID,VA03,0.004348330295974061,0.1116
RID,VD02,0.010343299119463002,0.2162
RID,AVBR,0.02955140937304316,0.0184
RID,AVEL,0.004745235694058282,1.0
RID,AVER,0.004670903552085353,1.0
RID,PVCL,0.014284547695626556,0.4378
RID,DA02,0.0147548259861255,0.0034
RID,AS02,0.0114648875054954,0.0008
RID,VA04,0.0033442028326912693,0.0688
RID,AS03,0.0026875584870850603,0.0552
RID,VA05,0.005126429880869636,0.0984
RID,DA03,0.006398595469344843,0.1362
RID,AS04,0.001529814386678602,0.0382
RID,DB03,0.012571532594729363,0.004
RID,AS05,0.0030192479541606945,0.0528
RID,VA07,0.002419303492439176,0.053
RID,AS06,0.0025879925287750297,0.0418
RID,DA05,0.006815916586410063,0.1244
RID,VA08,0.011456752548768403,0.0152
RID,PLMR,0.00044192023980224896,0.4244
RID,AS07,0.0078051745483017285,0.0446
RID,AS08,0.005248681565567013,0.0596
RID,AS09,0.005743063987137524,0.083
RID,DVB,0.003543735050694489,0.1526
RID,AS10,0.0024117513624611897,0.0462
RID,PDB,0.021327263277957483,0.0
RID,AS11,0.02408647089285087,0.0002
RID,PDA,0.0022013217036600395,0.0566
RID,VA12,0.00712848655847528,0.1902
RID,CEPVR,0.00042687940425670457,1.0
RID,URXL,0.00027211748758674235,1.0
RID,RIFR,0.0009022959569243937,0.9346
RID,ASJR,0.00012935664410220282,0.9962
RID,ASJL,0.00015478513930072544,1.0
RID,AVFR,0.0010263252402123201,1.0
RID,URXR,0.000963039513090232,1.0
RID,AVJL,0.004336358664279344,0.7472
RID,DA01,0.007410139276798107,0.1564
RID,DA04,0.00718347145098011,0.1172
RID,DA06,0.03899902564525234,0.0
RID,DA07,0.003290970589693589,0.0412
RID,DB06,0.0040605162558002734,0.0598
RID,LUAL,0.0018560932579499542,0.1474
RID,SABD,0.0031406750993922127,0.147
RID,SABVR,0.0026792628212649883,0.0698
RID,URYDL,0.00046223950314418607,0.9674
RID,URYVR,0.0003771940682978742,0.9446
RID,VA01,0.0026483679607787903,0.0772
RID,VA02,0.0039322073522528945,0.1076
RID,VA06,0.00513860730792953,0.084
RID,VA09,0.00582725236686657,0.1204
RID,VA10,0.003906866768030285,0.057
RID,VA11,0.007845972957070159,0.1096
RID,VB09,0.0060369263658881685,0.1104
RID,AVJR,0.003294231332548907,0.9614
RID,LUAR,0.003507294046027696,0.0804
RID,PHBL,0.0008535942727837368,0.9572
RID,PHBR,0.00031832615823796664,1.0
RID,PHCL,0.0006270534022060564,0.5456
RID,PQR,0.0014548645324774878,0.6566
RID,PVDL,0.0005542242120318222,0.1934
RID,PVDR,2.954115567541997e-05,0.506
RID,PVNL,0.0023103097429208823,0.6974
RID,PVNR,0.0027765362532083276,0.7238
RID,VD06,0.005167050108549844,0.412
RID,DA08,0.009015481820618145,0.1714
RID,DB05,0.002503619188155941,0.0388
RID,SABVL,0.003648950146289617,0.1046
RID,URYDR,0.0003251006056415629,0.7698
RID,URYVL,0.0003179132823792899,0.6584
RID,AVG,0.0018229900296719784,0.9726
RID,PVWR,0.0019143126615695162,0.3348
RID,SAAVR,0.0011086473622843457,0.9892
RID,SMBDL,0.0005026676609544963,1.0
RID,VD05,0.02654719977703945,0.0006
RID,VD11,0.0017502596164898686,0.1272
RID,VD13,0.016760981439302613,0.0192
RID,DB04,0.0027940473653337915,0.0734
RID,DB07,0.004030116872460348,0.1126
RID,SIBVL,0.0011866429140272232,0.7398
RID,VB02,0.002002289902223741,0.3358
RID,VB04,0.002185789132930434,0.0628
RID,VB05,0.0010164490197037805,0.197
RID,VB06,0.0018231523471693742,0.0432
RID,VB07,0.0018630822626041236,0.0546
RID,VB08,0.0038796346303374,0.092
RID,VB10,0.0020395442073483983,0.0708
RID,VB11,0.003334613186281327,0.0738
RID,AVFL,0.0015401582869206977,1.0
RID,URBL,5.830239826857326e-05,1.0
RID,VC04,2.7878441502543285e-05,1.0
RID,DB02,0.0028625690343859504,0.0686
RID,DD01,0.04649150725084245,0.0
RID,VB03,0.0015241446857616487,0.19
RID,VD10,0.0010115571253245562,0.6074
RID,PHAL,0.0004092061355945764,0.998
RID,RMDVR,0.0009767642939029976,1.0
RID,RMEV,0.001286739178669573,0.9996
RID,AVL,0.007708856456295165,0.252
RID,CEPDR,9.435377214310921e-05,1.0
RID,IL1R,7.228698019132382e-05,1.0
RID,OLLR,0.0002878969937620451,1.0
RID,RMDVL,0.0006524385837649775,1.0
RID,CEPDL,0.00018774214685558462,1.0
RID,IL1L,6.694496590993858e-05,1.0
RID,OLLL,0.00013048198233180593,1.0
RID,VC05,7.259131535696264e-05,1.0
RID,PHAR,0.0004350840802888594,0.9998
RID,PHCR,0.0018861383782696865,0.0866
RID,PVWL,0.0013605796835707569,0.3336
RID,SMBVR,0.000947552940331963,1.0
RID,PDEL,0.0018520532003059183,0.5906
RID,PDER,0.001337616900440081,0.8762
RID,PVM,0.0002793725587802741,0.8384
RID,RMDR,0.0013287588257349008,1.0
RID,RMFL,0.0005436496200998597,1.0
RID,RMFR,0.0005807778155921167,0.991
RID,VC01,0.0008905304572124406,0.8816
RID,VC03,0.0004136253859513562,1.0
RID,OLQDL,0.00012589464340776875,1.0
RID,OLQDR,0.00011984414216921595,1.0
RID,IL2DR,0.00043266805440779347,0.246
RID,RIAL,0.0014188410142074183,1.0
RID,OLQVR,0.00027320529123635,1.0
RID,RIAR,0.0011634610655932211,1.0
RID,DD02,0.043292936202273986,0.0
RID,DA09,0.014675770769026058,0.009
RID,VC02,0.0005182267445913032,0.9994
RID,VD01,0.010302877095496167,0.225
RID,DD03,0.03489547832902807,0.0004
RID,VD04,0.007254542645230461,0.2582
RID,DD04,0.004334180015133723,0.9516
RID,VD08,0.0008504474110241905,0.211
RID,DD05,0.002799292779231744,0.8922
RID,DD06,0.02575742266251883,0.0014
RID,PLML,0.0001843074566236801,0.3768
RID,IL1DL,0.0001645946847866121,1.0
RID,IL1DR,0.00020353669745208416,1.0
RID,URADL,9.167140606605651e-05,1.0
RID,URADR,3.248208256062688e-05,1.0
RID,IL1VL,0.0005422184468482564,0.9994
RID,IL1VR,0.00011856329499874178,1.0
RID,URAVR,3.338309838365716e-05,1.0
RID,RMED,0.03871964347735766,0.0
RID,IL2VR,3.998965361185175e-05,1.0
RID,RMDL,0.0005586033473189864,1.0
RID,RIPL,0.0008412378281688453,1.0
RID,RIPR,0.0010747200179194705,1.0
RID,RMDDL,0.0006786649486591963,1.0
RID,RMDDR,0.0005277935002910021,1.0
RID,VD09,0.0011680298455261388,0.9136
RID,SMBVL,0.00046788401212260854,1.0
RID,PLNL,3.280828404572417e-05,1.0
RID,VD03,0.00859813068565776,0.2822
RID,SMDVL,0.0008273432345165833,1.0
RID,SMDDL,0.0014587385198658914,1.0
RID,SMDDR,0.0014958514759236255,1.0
RID,SMDVR,0.0009827812487636133,1.0
RID,SIADL,0.00030331223106124476,1.0
RID,SIAVL,0.0002212313412013267,1.0
RID,SIBDL,0.0008755069055720252,0.8576
RID,SIBVR,0.0009231825739544468,0.9766
RID,SIADR,0.00035548904387094936,1.0
RID,SIAVR,0.00024183542692468991,1.0
RID,RMEL,5.6502625646153885e-05,1.0
RID,URAVL,0.00018668525044596919,1.0
RID,RMHL,0.00016354376574102776,1.0
RID,RMER,8.22868194473537e-05,1.0
RID,RMHR,0.00016328603455194812,1.0
RID,PLNR,0.0001469753240183545,0.9996
RID,VD07,0.001222098691425141,0.9748
RID,VD12,0.004809237918114855,0.3332
RID,VC06,0.00031763179034770945,0.3924
